language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
spanish,RF,relationformVERB relationformADJ deprelneg Sidorovbigramsupostag,0.667,0.975,0.792,0.302,0.022,0.041,0.484,0.498,0.416,0.658,7200,1800
spanish,RF,relationformVERB relationformADJ Sidorovbigramsform deprel,0.663,0.953,0.782,0.230,0.028,0.051,0.446,0.490,0.416,0.645,7200,1800
french,RF,relationformVERB relationformNOUN Sidorovbigramsform Sidorovbigramsupostag,0.669,0.995,0.800,0.615,0.016,0.032,0.642,0.506,0.416,0.669,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformVERB relationformADJ deprelneg,0.666,0.969,0.789,0.275,0.023,0.043,0.470,0.496,0.416,0.654,7200,1800
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel,0.668,0.987,0.797,0.409,0.018,0.035,0.538,0.503,0.416,0.664,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsupostag,0.668,0.987,0.797,0.409,0.018,0.035,0.538,0.503,0.416,0.664,5853,1464
spanish,SVC,Sidorovbigramsdeprel,0.663,0.952,0.781,0.227,0.028,0.050,0.445,0.490,0.416,0.644,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.994,0.800,0.571,0.016,0.032,0.620,0.505,0.416,0.668,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprelneg,0.669,0.994,0.800,0.571,0.016,0.032,0.620,0.505,0.416,0.668,5853,1464
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.994,0.800,0.571,0.016,0.032,0.620,0.505,0.416,0.668,5853,1464
spanish,RF,chargrams relationformNOUN ngram,0.657,0.916,0.765,0.192,0.040,0.066,0.424,0.478,0.416,0.624,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformVERB deprelneg,0.665,0.968,0.788,0.264,0.023,0.043,0.465,0.495,0.416,0.653,7200,1800
spanish,RF,chargrams relationformADJ deprelneg,0.656,0.911,0.763,0.189,0.042,0.068,0.423,0.476,0.416,0.622,7200,1800
french,RF,relationformNOUN Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.669,0.993,0.799,0.533,0.016,0.032,0.601,0.505,0.416,0.667,5853,1464
french,RF,Sidorovbigramsform Sidorovbigramsupostag,0.669,0.993,0.799,0.533,0.016,0.032,0.601,0.505,0.416,0.667,5853,1464
spanish,RF,chargrams deprelneg,0.656,0.910,0.762,0.188,0.042,0.068,0.422,0.476,0.415,0.621,7200,1800
spanish,RF,Sidorovbigramsdeprel chargram,0.656,0.910,0.762,0.188,0.042,0.068,0.422,0.476,0.415,0.621,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsform deprel Sidorovbigramsupostag,0.669,0.998,0.801,0.778,0.014,0.028,0.724,0.506,0.415,0.670,5853,1464
french,RF,relationformNOUN Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.669,0.998,0.801,0.778,0.014,0.028,0.724,0.506,0.415,0.670,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams deprelneg Sidorovbigramsform,0.655,0.908,0.761,0.185,0.042,0.068,0.420,0.475,0.415,0.620,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformADJ Sidorovbigramsform,0.657,0.918,0.766,0.189,0.038,0.064,0.423,0.478,0.415,0.625,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB relationformADJ deprelneg,0.658,0.923,0.768,0.191,0.037,0.062,0.424,0.480,0.415,0.628,7200,1800
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.997,0.801,0.700,0.014,0.028,0.685,0.506,0.415,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.669,0.997,0.801,0.700,0.014,0.028,0.685,0.506,0.415,0.669,5853,1464
french,RF,relationformNOUN Sidorovbigramsform deprel Sidorovbigramsupostag,0.669,0.997,0.801,0.700,0.014,0.028,0.685,0.506,0.415,0.669,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprel,0.669,0.997,0.801,0.700,0.014,0.028,0.685,0.506,0.415,0.669,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.997,0.801,0.700,0.014,0.028,0.685,0.506,0.415,0.669,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel ngrams deprelneg deprel Sidorovbigramsupostag,0.669,0.997,0.801,0.700,0.014,0.028,0.685,0.506,0.415,0.669,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB relationformADJ deprelneg Sidorovbigramsupostag,0.657,0.917,0.765,0.187,0.038,0.064,0.422,0.478,0.414,0.624,7200,1800
french,RF,relationformVERB relationformNOUN Sidorovbigramsform deprel Sidorovbigramsupostag,0.669,0.996,0.800,0.636,0.014,0.028,0.653,0.505,0.414,0.669,5853,1464
spanish,RF,chargrams relationformNOUN relationformADJ,0.656,0.911,0.762,0.183,0.040,0.066,0.419,0.476,0.414,0.621,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB deprelneg Sidorovbigramsupostag,0.657,0.920,0.767,0.186,0.037,0.061,0.422,0.478,0.414,0.626,7200,1800
french,RF,relationformADJ relationformNOUN Sidorovbigramsform Sidorovbigramsupostag,0.669,0.995,0.800,0.583,0.014,0.028,0.626,0.505,0.414,0.668,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsform Sidorovbigramsupostag,0.669,0.995,0.800,0.583,0.014,0.028,0.626,0.505,0.414,0.668,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.995,0.800,0.583,0.014,0.028,0.626,0.505,0.414,0.668,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.669,0.995,0.800,0.583,0.014,0.028,0.626,0.505,0.414,0.668,5853,1464
spanish,RF,chargrams relationformNOUN relationformADJ Sidorovbigramsupostag,0.658,0.924,0.768,0.188,0.035,0.059,0.423,0.480,0.414,0.628,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB relationformADJ deprelneg,0.658,0.924,0.768,0.188,0.035,0.059,0.423,0.480,0.414,0.628,7200,1800
spanish,RF,chargrams relationformVERB relationformADJ Sidorovbigramsupostag Sidorovbigramsform,0.654,0.905,0.760,0.180,0.042,0.068,0.417,0.473,0.414,0.618,7200,1800
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.669,0.994,0.799,0.539,0.014,0.028,0.604,0.504,0.414,0.667,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.669,0.994,0.799,0.539,0.014,0.028,0.604,0.504,0.414,0.667,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel deprelneg,0.667,0.986,0.796,0.364,0.016,0.031,0.515,0.501,0.414,0.663,5853,1464
spanish,RF,chargrams relationformVERB Sidorovbigramsupostag,0.656,0.913,0.763,0.181,0.038,0.063,0.418,0.476,0.413,0.622,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB Sidorovbigramsupostag Sidorovbigramsform,0.659,0.933,0.772,0.190,0.032,0.054,0.424,0.482,0.413,0.633,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB relationformADJ Sidorovbigramsupostag Sidorovbigramsform,0.656,0.918,0.765,0.182,0.037,0.061,0.419,0.477,0.413,0.624,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformADJ Sidorovbigramsupostag ngram,0.656,0.918,0.765,0.182,0.037,0.061,0.419,0.477,0.413,0.624,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN Sidorovbigramsupostag,0.656,0.918,0.765,0.182,0.037,0.061,0.419,0.477,0.413,0.624,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB deprelneg Sidorovbigramsform,0.657,0.923,0.768,0.184,0.035,0.059,0.421,0.479,0.413,0.627,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB relationformADJ,0.656,0.918,0.765,0.182,0.037,0.061,0.419,0.477,0.413,0.624,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB relationformADJ,0.656,0.913,0.763,0.180,0.038,0.063,0.418,0.476,0.413,0.622,7200,1800
french,RF,relationformADJ Sidorovbigramsdeprel deprel,0.669,1.000,0.802,1.000,0.012,0.024,0.835,0.506,0.413,0.671,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN deprelneg Sidorovbigramsupostag,0.668,0.992,0.798,0.467,0.014,0.028,0.567,0.503,0.413,0.666,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.668,0.992,0.798,0.467,0.014,0.028,0.567,0.503,0.413,0.666,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams deprelneg,0.655,0.908,0.761,0.178,0.040,0.065,0.416,0.474,0.413,0.619,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB Sidorovbigramsform,0.658,0.927,0.769,0.185,0.033,0.057,0.422,0.480,0.413,0.629,7200,1800
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel deprelneg deprel,0.669,0.999,0.802,0.857,0.012,0.024,0.763,0.506,0.413,0.670,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsupostag,0.668,0.991,0.798,0.438,0.014,0.028,0.553,0.503,0.413,0.665,5853,1464
spanish,RF,chargrams relationformADJ Sidorovbigramsupostag,0.656,0.916,0.764,0.179,0.037,0.061,0.417,0.476,0.413,0.623,7200,1800
spanish,RF,chargrams relationformVERB ngram,0.657,0.921,0.767,0.181,0.035,0.059,0.419,0.478,0.413,0.626,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB relationformADJ Sidorovbigramsupostag,0.656,0.916,0.764,0.179,0.037,0.061,0.417,0.476,0.413,0.623,7200,1800
spanish,RF,chargrams relationformVERB relationformADJ Sidorovbigramsupostag,0.655,0.911,0.762,0.177,0.038,0.063,0.416,0.475,0.413,0.621,7200,1800
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.669,0.998,0.801,0.750,0.012,0.024,0.710,0.505,0.413,0.669,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.669,0.998,0.801,0.750,0.012,0.024,0.710,0.505,0.413,0.669,5853,1464
spanish,RF,chargrams relationformADJ deprelneg ngram,0.657,0.920,0.766,0.180,0.035,0.059,0.418,0.478,0.413,0.626,7200,1800
spanish,RF,chargrams relationformADJ deprelneg Sidorovbigramsupostag Sidorovbigramsform ngram,0.657,0.920,0.766,0.180,0.035,0.059,0.418,0.478,0.413,0.626,7200,1800
spanish,RF,chargrams relationformVERB relationformADJ deprelneg Sidorovbigramsupostag,0.657,0.920,0.766,0.180,0.035,0.059,0.418,0.478,0.413,0.626,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB relationformADJ Sidorovbigramsform,0.658,0.930,0.771,0.185,0.032,0.054,0.421,0.481,0.413,0.631,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformVERB relationformADJ deprelneg Sidorovbigramsupostag,0.667,0.980,0.793,0.294,0.017,0.032,0.480,0.498,0.413,0.659,7200,1800
spanish,RF,chargrams relationformVERB relationformADJ deprelneg,0.656,0.915,0.764,0.177,0.037,0.061,0.417,0.476,0.412,0.623,7200,1800
spanish,RF,relationformNOUN relationformADJ deprelneg Sidorovbigramsupostag,0.666,0.979,0.793,0.286,0.017,0.032,0.476,0.498,0.412,0.659,7200,1800
french,RF,relationformNOUN Sidorovbigramsdeprel deprel,0.669,0.997,0.801,0.667,0.012,0.024,0.668,0.505,0.412,0.669,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel,0.669,0.997,0.801,0.667,0.012,0.024,0.668,0.505,0.412,0.669,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprel,0.669,0.997,0.801,0.667,0.012,0.024,0.668,0.505,0.412,0.669,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.669,0.997,0.801,0.667,0.012,0.024,0.668,0.505,0.412,0.669,5853,1464
french,RF,Sidorovbigramsform deprel Sidorovbigramsupostag,0.669,0.997,0.801,0.667,0.012,0.024,0.668,0.505,0.412,0.669,5853,1464
spanish,RF,chargram,0.656,0.914,0.764,0.176,0.037,0.061,0.416,0.475,0.412,0.622,7200,1800
spanish,RF,chargrams relationformNOUN deprelneg,0.656,0.914,0.764,0.176,0.037,0.061,0.416,0.475,0.412,0.622,7200,1800
spanish,RF,chargrams relationformVERB deprelneg,0.657,0.923,0.768,0.179,0.033,0.056,0.418,0.478,0.412,0.627,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB,0.656,0.918,0.765,0.177,0.035,0.059,0.416,0.477,0.412,0.624,7200,1800
spanish,RF,chargrams relationformNOUN relationformADJ ngram,0.655,0.913,0.763,0.175,0.037,0.061,0.415,0.475,0.412,0.622,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB,0.655,0.913,0.763,0.175,0.037,0.061,0.415,0.475,0.412,0.622,7200,1800
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprelneg Sidorovbigramsupostag,0.668,0.995,0.800,0.546,0.012,0.024,0.607,0.504,0.412,0.667,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformVERB relationformADJ Sidorovbigramsupostag,0.666,0.978,0.792,0.270,0.017,0.031,0.468,0.497,0.412,0.658,7200,1800
spanish,RF,chargrams relationformVERB deprelneg Sidorovbigramsupostag,0.655,0.913,0.763,0.173,0.037,0.061,0.414,0.475,0.412,0.621,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB Sidorovbigramsform,0.656,0.918,0.765,0.175,0.035,0.058,0.416,0.476,0.412,0.624,7200,1800
spanish,RF,chargrams Sidorovbigramsupostag ngram,0.657,0.922,0.767,0.175,0.033,0.056,0.416,0.478,0.412,0.626,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN deprelneg,0.656,0.917,0.765,0.174,0.035,0.058,0.415,0.476,0.412,0.623,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB deprelneg Sidorovbigramsform,0.657,0.922,0.767,0.175,0.033,0.056,0.416,0.478,0.412,0.626,7200,1800
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel deprelneg,0.667,0.986,0.795,0.333,0.014,0.028,0.500,0.500,0.411,0.662,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams deprelneg Sidorovbigramsupostag,0.655,0.912,0.762,0.172,0.037,0.061,0.413,0.474,0.411,0.621,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB relationformADJ deprelneg deprel,0.657,0.926,0.769,0.176,0.032,0.054,0.417,0.479,0.411,0.628,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformADJ deprel,0.667,0.982,0.794,0.290,0.015,0.029,0.478,0.498,0.411,0.660,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB relationformADJ deprelneg Sidorovbigramsupostag Sidorovbigramsform ngram,0.657,0.925,0.768,0.174,0.032,0.054,0.416,0.478,0.411,0.628,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB relationformADJ Sidorovbigramsform,0.657,0.925,0.768,0.174,0.032,0.054,0.416,0.478,0.411,0.628,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformNOUN relationformVERB deprelneg,0.666,0.981,0.794,0.281,0.015,0.029,0.474,0.498,0.411,0.659,7200,1800
spanish,RF,chargrams deprelneg Sidorovbigramsform ngram,0.655,0.915,0.764,0.171,0.035,0.058,0.413,0.475,0.411,0.622,7200,1800
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel deprel,0.669,0.999,0.801,0.833,0.010,0.020,0.751,0.505,0.411,0.669,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsdeprel deprel,0.669,0.999,0.801,0.833,0.010,0.020,0.751,0.505,0.411,0.669,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel deprel,0.669,0.999,0.801,0.833,0.010,0.020,0.751,0.505,0.411,0.669,5853,1464
french,RF,relationformVERB relationformNOUN Sidorovbigramsdeprel deprelneg deprel,0.669,0.999,0.801,0.833,0.010,0.020,0.751,0.505,0.411,0.669,5853,1464
french,RF,Sidorovbigramsdeprel deprel,0.669,0.999,0.801,0.833,0.010,0.020,0.751,0.505,0.411,0.669,5853,1464
french,RF,Sidorovbigramsdeprel Sidorovbigramsform deprel Sidorovbigramsupostag,0.669,0.999,0.801,0.833,0.010,0.020,0.751,0.505,0.411,0.669,5853,1464
spanish,RF,Sidorovbigramsdeprel relationformNOUN relationformADJ,0.666,0.979,0.793,0.265,0.015,0.028,0.465,0.497,0.411,0.658,7200,1800
french,RF,relationformNOUN Sidorovbigramsdeprel deprelneg deprel,0.669,0.998,0.801,0.714,0.010,0.020,0.691,0.504,0.410,0.669,5853,1464
spanish,RF,relationformVERB deprelneg deprel,0.666,0.978,0.792,0.257,0.015,0.028,0.461,0.497,0.410,0.658,7200,1800
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsdeprel deprelneg deprel,0.669,0.998,0.801,0.714,0.010,0.020,0.691,0.504,0.410,0.669,5853,1464
french,RF,relationformVERB relationformADJ relationformNOUN Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.669,0.998,0.801,0.714,0.010,0.020,0.691,0.504,0.410,0.669,5853,1464
french,RF,relationformVERB Sidorovbigramsdeprel Sidorovbigramsform Sidorovbigramsupostag,0.669,0.998,0.801,0.714,0.010,0.020,0.691,0.504,0.410,0.669,5853,1464
spanish,RF,chargrams relationformNOUN deprelneg Sidorovbigramsupostag,0.655,0.913,0.762,0.167,0.035,0.058,0.411,0.474,0.410,0.621,7200,1800
spanish,RF,chargrams relationformNOUN Sidorovbigramsupostag ngram,0.656,0.923,0.767,0.170,0.032,0.053,0.413,0.477,0.410,0.626,7200,1800
french,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.668,0.997,0.800,0.625,0.010,0.020,0.647,0.504,0.410,0.668,5853,1464
french,RF,relationformNOUN Sidorovbigramsdeprel Sidorovbigramsform deprel Sidorovbigramsupostag,0.668,0.997,0.800,0.625,0.010,0.020,0.647,0.504,0.410,0.668,5853,1464
spanish,RF,Sidorovbigramsdeprel chargrams relationformVERB deprel ngram,0.657,0.928,0.769,0.171,0.030,0.051,0.414,0.479,0.410,0.629,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformVERB relationformADJ,0.665,0.972,0.789,0.227,0.017,0.031,0.446,0.494,0.410,0.654,7200,1800
spanish,RF,chargrams relationformNOUN relationformADJ deprelneg deprel ngram,0.657,0.927,0.769,0.170,0.030,0.051,0.413,0.478,0.410,0.628,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB deprelneg Sidorovbigramsupostag Sidorovbigramsform,0.656,0.922,0.767,0.168,0.032,0.053,0.412,0.477,0.410,0.626,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB relationformADJ deprelneg Sidorovbigramsupostag,0.656,0.922,0.767,0.168,0.032,0.053,0.412,0.477,0.410,0.626,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN Sidorovbigramsform,0.655,0.917,0.764,0.167,0.033,0.056,0.411,0.475,0.410,0.623,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN Sidorovbigramsupostag deprel ngram,0.656,0.922,0.767,0.168,0.032,0.053,0.412,0.477,0.410,0.626,7200,1800
spanish,RF,chargrams relationformVERB Sidorovbigramsupostag Sidorovbigramsform deprel,0.659,0.937,0.774,0.174,0.027,0.046,0.416,0.482,0.410,0.634,7200,1800
french,RF,relationformADJ Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.668,0.996,0.800,0.556,0.010,0.020,0.612,0.503,0.410,0.667,5853,1464
french,RF,relationformVERB relationformADJ Sidorovbigramsform deprelneg deprel Sidorovbigramsupostag,0.668,0.996,0.800,0.556,0.010,0.020,0.612,0.503,0.410,0.667,5853,1464
spanish,RF,chargrams deprel,0.655,0.916,0.764,0.165,0.033,0.056,0.410,0.475,0.410,0.622,7200,1800
spanish,RF,chargrams relationformNOUN relationformADJ deprelneg Sidorovbigramsupostag Sidorovbigramsform deprel,0.658,0.931,0.771,0.170,0.028,0.049,0.414,0.480,0.410,0.631,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB Sidorovbigramsupostag,0.654,0.911,0.762,0.164,0.035,0.058,0.409,0.473,0.410,0.619,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB Sidorovbigramsupostag ngram,0.657,0.926,0.769,0.168,0.030,0.051,0.413,0.478,0.410,0.628,7200,1800
spanish,RF,relationformNOUN Sidorovbigramsupostag,0.665,0.976,0.791,0.237,0.015,0.028,0.451,0.495,0.410,0.656,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformADJ Sidorovbigramsupostag,0.655,0.916,0.764,0.165,0.033,0.056,0.410,0.475,0.410,0.622,7200,1800
spanish,RF,chargrams relationformADJ deprelneg Sidorovbigramsform ngram,0.655,0.915,0.764,0.164,0.033,0.056,0.409,0.474,0.410,0.622,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB relationformADJ deprelneg ngram,0.656,0.920,0.766,0.165,0.032,0.053,0.411,0.476,0.410,0.624,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB relationformADJ deprelneg Sidorovbigramsupostag Sidorovbigramsform,0.656,0.920,0.766,0.165,0.032,0.053,0.411,0.476,0.410,0.624,7200,1800
spanish,RF,chargrams relationformVERB relationformADJ deprelneg Sidorovbigramsform,0.657,0.925,0.768,0.167,0.030,0.051,0.412,0.478,0.410,0.627,7200,1800
spanish,RF,relationformNOUN deprelneg Sidorovbigramsupostag,0.665,0.975,0.791,0.231,0.015,0.028,0.448,0.495,0.409,0.656,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformADJ deprelneg,0.654,0.910,0.761,0.163,0.035,0.058,0.408,0.473,0.409,0.619,7200,1800
spanish,RF,Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag,0.665,0.975,0.791,0.231,0.015,0.028,0.448,0.495,0.409,0.656,7200,1800
spanish,RF,Sidorovbigramsdeprel chargrams relationformNOUN relationformVERB relationformADJ deprelneg deprel ngram,0.659,0.940,0.775,0.172,0.025,0.044,0.416,0.483,0.409,0.636,7200,1800
spanish,RF,chargrams relationformNOUN relationformVERB relationformADJ Sidorovbigramsupostag,0.655,0.914,0.763,0.163,0.033,0.055,0.409,0.474,0.409,0.621,7200,1800
